year,index_2017=100,percent
year,S001,S002
1919,4.9412,
1920,5.1746,4.7235
1921,3.9786,-23.1129
1922,5.0646,27.2960
1923,6.0362,19.1841
1924,5.6548,-6.3185
1925,6.2292,10.1577
1926,6.5905,5.8001
1927,6.5860,-0.0683
1928,6.8575,4.1224
1929,7.6115,10.9953
1930,6.3235,-16.9218
1931,5.2374,-17.1756
1932,4.0885,-21.9365
1933,4.8425,18.4420
1934,5.2486,8.3862
1935,6.0789,15.8195
1936,7.1739,18.0131
1937,7.8583,9.5401
1938,6.2135,-20.9307
1939,7.6250,22.7167
1940,8.8075,15.5082
1941,11.1233,26.2935
1942,12.7637,14.7474
1943,15.5035,21.4656
1944,16.6659,7.4977
1945,14.2649,-14.4067
1946,12.3283,-13.5760
1947,13.8744,12.5411
1948,14.4601,4.2214
1949,13.6523,-5.5864
1950,15.8042,15.7622
1951,17.1416,8.4623
1952,17.8103,3.9010
1953,19.3048,8.3912
1954,18.2120,-5.6608
1955,20.5412,12.7894
1956,21.4298,4.3259
1957,21.7350,1.4242
1958,20.3258,-6.4836
1959,22.7560,11.9562
1960,23.2699,2.2583
1961,23.4247,0.6652
1962,25.3769,8.3339
1963,26.9320,6.1280
1964,28.7451,6.7321
1965,31.6017,9.9377
1966,34.3977,8.8476
1967,35.1402,2.1586
1968,37.0922,5.5549
1969,38.8141,4.6422
1970,37.5342,-3.2975
1971,38.0473,1.3670
1972,41.7062,9.6167
1973,45.1315,8.2129
1974,45.0197,-0.2477
1975,41.0052,-8.9172
1976,44.2323,7.8700
1977,47.6179,7.6541
1978,50.2340,5.4939
1979,51.7384,2.9948
1980,50.4092,-2.5691
1981,51.0492,1.2696
1982,48.3966,-5.1962
1983,49.7212,2.7370
1984,54.1542,8.9157
1985,54.8216,1.2324
1986,55.3682,0.9971
1987,58.2505,5.2057
1988,61.2685,5.1811
1989,61.8182,0.8972
1990,62.4046,0.9486
1991,61.4172,-1.5823
1992,63.1799,2.8700
1993,65.2627,3.2966
1994,68.7036,5.2724
1995,71.9404,4.7113
1996,75.2524,4.6038
1997,80.7444,7.2981
1998,85.4826,5.8681
1999,89.3241,4.4939
2000,92.5072,3.5635
2001,89.7503,-2.9802
2002,90.0246,0.3056
2003,91.2577,1.3697
2004,93.5959,2.5622
2005,96.7388,3.3579
2006,98.9953,2.3326
2007,101.5720,2.6029
2008,98.1173,-3.4012
2009,86.8996,-11.4329
2010,91.7370,5.5667
2011,94.6396,3.1640
2012,97.5409,3.0656
2013,99.4844,1.9925
2014,102.4476,2.9786
2015,100.9719,-1.4404
2016,98.7988,-2.1522
2017,100.0000,1.2158
2018,103.1630,3.1630
2019,102.3463,-0.7917
2020,95.0885,-7.0914
2021,99.2876,4.4160
2022,100.9800,1.7045
2023,100.7643,-0.2136
2024,100.1058,-0.6535
2025,101.2281,1.1211
2026,101.9692,0.7321
